epochs,train_l1_losses,train_l2_losses,train_kl_losses,val_l1_losses,val_l2_losses,val_kl_losses,lr_history
0,0.5794945010442215,0.6066667321341853,0.6065488615564225,0.5317086802081483,0.5515819296225491,0.6101844419954002,0.001
1,0.5727114969413186,0.5972295695530161,0.6125042207965766,0.5306606402530699,0.5507666686471295,0.6142060040876285,0.0001
2,0.5721196297944555,0.5965312839560922,0.6128742224494441,0.5339064468827791,0.5536286944536855,0.6005330028171284,1e-05
3,0.572190407855045,0.596603192922915,0.6129651834611151,0.5305778775574737,0.5508241706967109,0.6059387896098924,1.0000000000000002e-06
4,0.5721382723286988,0.5965396243920236,0.6131250894104682,0.5306889295179822,0.5508857658640208,0.6091162948299655,1.0000000000000002e-07
5,0.5720828122504482,0.5964164300286997,0.6131154582188868,0.5305546619465148,0.5508203922339235,0.6126204219102125,1.0000000000000004e-08
6,0.5721216220556377,0.5964933562887047,0.6131435133812186,0.5300918579606946,0.5505455542137542,0.6107028271899562,1.0000000000000005e-09
7,0.5721260610349728,0.5965102089659233,0.61312178850349,0.528365212868811,0.548788748183819,0.6152740130689137,1.0000000000000006e-10
8,0.5721749077722015,0.596568834735696,0.6131444475943122,0.5309738851968823,0.5510471938646955,0.611649372579505,1.0000000000000006e-11
9,0.5721341414248541,0.5965319295702352,0.6130980681742866,0.5302253172551985,0.5505478881904424,0.6119167992782004,1.0000000000000006e-12
10,0.5721420146317033,0.5965188787569033,0.6130954991747104,0.5320018315486771,0.5519894045860892,0.6037539074777454,1.0000000000000007e-13
11,0.5721371294949723,0.5964988241221061,0.6131338250838362,0.5289401276934919,0.5495193004914447,0.6128737551580352,1.0000000000000008e-14
12,0.5720999255404423,0.5964586115749922,0.6131138666829699,0.5295873380209657,0.5500201581453737,0.6144467312900037,1.0000000000000009e-15
13,0.5721124311025623,0.5965299239789686,0.6131244707343861,0.5279752232846474,0.5489302080541941,0.6185094570053812,1.000000000000001e-16
