epochs,train_l1_losses,train_l2_losses,train_kl_losses,val_l1_losses,val_l2_losses,val_kl_losses,lr_history
0,0.6504771962168736,1.0000069318355531,0.00013040667448617927,0.6507578985641532,1.0007444293370702,9.395768580913034e-06,0.001
1,0.6504754522128213,0.9999955689487905,1.0012103254816512e-07,0.6507578985641532,1.0007444293370702,6.09448317179293e-08,0.0001
2,0.6504748522650117,0.999992730782832,3.5522033024807285e-08,0.6507578985641532,1.0007444293370702,8.448700564054444e-09,1e-05
3,0.6504812580336627,1.0000186970593388,2.1054298082880702e-08,0.6507578985641532,1.0007444293370702,7.37308403941898e-09,1.0000000000000002e-06
4,0.6504760407015144,0.9999971898217771,2.0001169926703502e-08,0.6507578985641532,1.0007444293370702,6.36729900696761e-09,1.0000000000000002e-07
5,0.6504777396947374,1.0000028935244696,2.0328568857766063e-08,0.6507578985641532,1.0007444293370702,7.339795987887493e-09,1.0000000000000004e-08
6,0.6504766935218513,0.9999989082923227,2.7282415527373535e-08,0.6507578985641532,1.0007444293370702,8.418585641363679e-09,1.0000000000000005e-09
7,0.6504758185733897,0.9999988937960412,2.0008491916129717e-08,0.6507578985641532,1.0007444293370702,7.205761593045338e-09,1.0000000000000006e-10
8,0.6504768775345773,1.0000011140701932,2.485555801045528e-08,0.6507578985641532,1.0007444293370702,6.7310992090011125e-09,1.0000000000000006e-11
9,0.6504765668319271,1.000000709673614,2.3851573657950537e-08,0.6507578985641532,1.0007444293370702,6.858695867274372e-09,1.0000000000000006e-12
10,0.6504767971393026,1.000003839266773,2.053104711541718e-08,0.6507578985641532,1.0007444293370702,7.135144557887416e-09,1.0000000000000007e-13
11,0.6504782085658589,1.0000061464505667,2.750392892489604e-08,0.6507578985641532,1.0007444293370702,7.252032353251588e-09,1.0000000000000008e-14
12,0.6504759038816587,0.9999968090851437,2.3001974015314357e-08,0.6507578985641532,1.0007444293370702,6.872399109923181e-09,1.0000000000000009e-15
13,0.6504768424223198,1.000001393825063,2.0126938960878916e-08,0.6507578985641532,1.0007444293370702,6.92202288094817e-09,1.000000000000001e-16
14,0.6504767174108885,1.0000008702713639,2.5721422397486282e-08,0.6507578985641532,1.0007444293370702,6.904607786127612e-09,1.000000000000001e-17
15,0.6504756576512827,0.9999963725817168,2.6952632075978645e-08,0.6507578985641532,1.0007444293370702,8.028907502556917e-09,1.000000000000001e-18
16,0.6504764816778982,0.9999985385498179,2.55937578636806e-08,0.6507578985641532,1.0007444293370702,6.7714180295026364e-09,1.000000000000001e-19
17,0.6504734381800854,0.9999864665769135,2.2917484725068466e-08,0.6507578985641532,1.0007444293370702,8.07618043423394e-09,1.0000000000000011e-20
18,0.6504794118910476,1.0000130024953595,2.8030448099554314e-08,0.6507578985641532,1.0007444293370702,6.72672179873946e-09,1.0000000000000012e-21
19,0.6504757553849357,0.9999964645245693,2.8640417687446227e-08,0.6507578985641532,1.0007444293370702,6.906888828823843e-09,1.0000000000000012e-22
20,0.6504744441008965,0.9999902224770255,2.3260575260086713e-08,0.6507578985641532,1.0007444293370702,7.49171393766374e-09,1.0000000000000013e-23
21,0.6504774692623081,1.0000019147158559,2.4565870433622187e-08,0.6507578985641532,1.0007444293370702,6.923252825171357e-09,1.0000000000000014e-24
22,0.6504795238147706,1.0000123002456742,2.0491902506509147e-08,0.6507578985641532,1.0007444293370702,6.573665044202072e-09,1.0000000000000014e-25
23,0.6504757191022696,0.9999955524179034,2.0473365001010942e-08,0.6507578985641532,1.0007444293370702,7.929122616999182e-09,1.0000000000000015e-26
24,0.6504737867690429,0.999989293086419,2.3004497506586452e-08,0.6507578985641532,1.0007444293370702,7.157063334454459e-09,1.0000000000000015e-27
25,0.6504760742623001,0.9999999896364403,2.8244676506037807e-08,0.6507578985641532,1.0007444293370702,6.8479971708023254e-09,1.0000000000000015e-28
26,0.6504761899286087,0.9999982970577822,3.382167637577651e-08,0.6507578985641532,1.0007444293370702,6.658266373814086e-09,1.0000000000000016e-29
27,0.6504774209580035,1.0000031701514451,2.054919441217498e-08,0.6507578985641532,1.0007444293370702,6.079629554303449e-09,1.0000000000000017e-30
28,0.6504773053529374,1.0000060918609868,2.9073552453020354e-08,0.6507578985641532,1.0007444293370702,6.425735098782218e-09,1.0000000000000016e-31
