epochs,train_l1_losses,train_l2_losses,train_kl_losses,val_l1_losses,val_l2_losses,val_kl_losses,lr_history
0,0.5590957065258249,0.5597466266846075,0.6266989400872838,0.5218494852478994,0.5160679659687248,0.6067306423805898,0.001
1,0.5496835650787616,0.5468848905564107,0.634285611443325,0.5028789545360365,0.4998072487030303,0.6489570621712312,0.0001
2,0.548692330392058,0.5456599215148225,0.6361370665853044,0.5058925441073108,0.5025454056934263,0.6369297238759886,1e-05
3,0.5487306663279881,0.545707247047977,0.6359166347860137,0.5148193640637845,0.5094164279527773,0.614075650877491,1.0000000000000002e-06
4,0.5487190547720896,0.5456550364979286,0.6358533353240339,0.5064599653640827,0.5030524370575548,0.6301542147143957,1.0000000000000002e-07
5,0.5485929764453031,0.5455407950342278,0.6358532951843051,0.5104067093710887,0.5059748783482758,0.621842945174869,1.0000000000000004e-08
6,0.5485865501173665,0.5454430271803605,0.6358217287575141,0.5031957544734648,0.500484940581871,0.6368358223632192,1.0000000000000005e-09
7,0.5485661871634113,0.5454995632767176,0.6358495623399893,0.5031231827581459,0.5004601034997007,0.643657565467885,1.0000000000000006e-10
8,0.5485703002474966,0.5454784253714814,0.6358295593772759,0.5039137511140158,0.5010175886270883,0.6426667967481476,1.0000000000000006e-11
9,0.5486973414137226,0.545643686477156,0.6358676990466705,0.5084586586853929,0.5041315411003275,0.6328724713548387,1.0000000000000006e-12
10,0.5486092466608686,0.5455104460924877,0.6358398793811401,0.5028748338960487,0.500291216360281,0.6442569270263843,1.0000000000000007e-13
11,0.5486716110608786,0.5455973024221845,0.6358246479871447,0.509442604154096,0.5052128083617274,0.6235316500621637,1.0000000000000008e-14
12,0.548654217371732,0.5455493042022178,0.6358427741432772,0.5051924003631612,0.5020775412389975,0.6385300519451482,1.0000000000000009e-15
13,0.5486703842226377,0.5456083558176965,0.6358666421988957,0.5065041828954049,0.5030534978096302,0.6371386548285543,1.000000000000001e-16
14,0.5486775637299863,0.545620432682257,0.6358273835256414,0.5106100687043474,0.5059961162049585,0.6247067120218259,1.000000000000001e-17
15,0.5486213402633763,0.5455814472889018,0.635831194612024,0.5063492736923462,0.5025199448246266,0.6391220003706504,1.000000000000001e-18
16,0.5486395835005089,0.5455875016332024,0.6358656042267607,0.5094430824172027,0.5050704965136882,0.627864304868272,1.000000000000001e-19
17,0.5486425636293109,0.5455563115939454,0.635835362749537,0.5083671371354134,0.504507792458887,0.6263508516109116,1.0000000000000011e-20
18,0.5485382643275568,0.545449915729529,0.6358139444335349,0.5091614600903066,0.5049077896870889,0.6323421767497703,1.0000000000000012e-21
19,0.5485986950683854,0.5455288603137058,0.6358325596825135,0.5083231788963617,0.5042120757504864,0.6300113710534015,1.0000000000000012e-22
20,0.5486789568537767,0.5456101750632921,0.6358642512176235,0.5086240932636065,0.5044759028002669,0.6286822268530249,1.0000000000000013e-23
21,0.5486522145885904,0.5456034671460374,0.6358437126155254,0.5064848613159859,0.5029821522783434,0.6363236178007466,1.0000000000000014e-24
22,0.5486141907871647,0.5455379750443247,0.6358193007646913,0.5132882806760755,0.5081236857480761,0.6138213471998658,1.0000000000000014e-25
23,0.548664632628307,0.545576484772805,0.6358440732963455,0.5046684533785405,0.5018577739448288,0.641328590733188,1.0000000000000015e-26
24,0.5485978077064305,0.5455763445094347,0.6358529506772318,0.5076484845256736,0.5039633742952154,0.632429829383537,1.0000000000000015e-27
